rank,topic,share,n_docs,top_terms
1,0,0.276326207442597,349,"loan, mortgage, payment, forbearance, pay, tell, email, receive, time, home"
2,1,0.11243072050673,142,"card, bank, account, charge, money, tell, check, chase, receive, day"
3,2,0.07363420427553444,93,"initiate formal, possible violation, fraudulent, formal, initiate, fraudulent account, possible, block, fair, investigation"
4,3,0.07125890736342043,90,"pnc, link, account, account pnc, pnc account, connect, pnc allow, link pnc, pnc bank, try link"
5,4,0.05463182897862233,69,"stellar payment, record company, successful resolution, definitely error, stellar, payment record, company try, resolution definitely, time stellar, error loan"
6,5,0.04513064133016627,57,"report, account, code, credit report, credit, late, contact bureau, bureau, reporting, partial account"
7,6,0.043547110055423596,55,"day, report day, item, state failure, immediately, failure investigate, delete, information impact, day reason, file litigation"
8,7,0.04196357878068092,53,"acct open, open balance, account acct, acct, balance account, open, balance, charge, response, request"
9,8,0.03800475059382423,48,"furnisher, information, section, consumer, cra, agency, account, dispute, report, account number"
10,9,0.03721298495645289,47,"inquiry, inquiry credit, hard inquiry, hard, add hard, credit report, initiate, add, credit, verification"
11,10,0.0332541567695962,42,"credit, information, credit information, inaccurate, report, credit report, mistake, inaccurate information, follow, inclusion inaccurate"
12,11,0.028503562945368172,36,"acct open, open balance, account acct, balance account, acct, open, balance, account, charge, act"
13,12,0.026920031670625493,34,"item open, account credit, consent deposit, party hang, hang identity, address consent, police, release state, letter release, say party"
14,13,0.022961203483768806,29,"chase, check, bank, card, account, money, tell, bank america, america, customer"
15,14,0.02058590657165479,26,"signature, write form, signature validate, request legal, action remove, form communication, add derogatory, consumer request, report research, research account"
16,15,0.015043547110055424,19,"free, citizen, marketing, request, credit, free annual, credit report, reporting, request free, free credit"
17,16,0.015043547110055424,19,"allege, proof, proof contract, contract, collection, authorization, provide, report, information, provide strict"
18,17,0.015043547110055424,19,"sec dob, inaccurate information, dob address, dob, sec, information credit, florida, health, inaccurate, soc sec"
19,18,0.015043547110055424,19,"soon possible, pull credit, fraudulent account, soon, possible, possible item, low tell, try cosign, vehicle car, car salesman"
20,19,0.013460015835312747,17,"debt, shall, person, result identity, result, repurchase debt, repurchase, transfer debt, subsection shall, identity theft"
