rank,topic,share,n_docs,top_terms
1,10,0.49465,9893,"payment, card, bank, pay, loan, account, tell, call, time, charge, receive, mortgage"
2,4,0.4607,9214,"report, credit, account, credit report, information, debt, dispute, remove, collection, bureau, company, letter"
3,6,0.00695,139,"pnc, link, connect, pnc bank, link account, pnc account, try link, account, allow, link pnc, account pnc, pnc allow"
4,3,0.00605,121,"file litigation, day, report day, datum breach, litigation, item, breach, immediately, inaccurate unknown, failure investigate, stress cause, investigate item"
5,11,0.00515,103,"acct open, open balance, acct, balance account, account acct, balance, open, account, charge, request, credit billing, billing act"
6,9,0.0041,82,"stellar payment, stellar, successful resolution, payment record, record company, definitely error, company try, try contact, definitely, time stellar, resolution definitely, successful"
7,12,0.00395,79,"xxxxdispute, fraudulent credit, fay, credit account, xxxxdispute xxxxdispute, thing list, list application, account fraudulent, fay servicing, couple, suspect identity, theft review"
8,8,0.00395,79,"credit, information, report, venmo, inaccurate, inaccurate information, credit information, dept dept, credit report, mistake, dept, soon possible"
9,5,0.0037,74,"signature, request legal, long responsible, caine, debt bill, action remove, right consumer, signature validate, caine weiner, weiner, form communication, research account"
10,2,0.00295,59,"inquiry date, removal date, date removal, date inquiry, consumer contract, physical verification, removal, verifiable proof, sign consumer, verification original, verify physical, consumer reporting"
11,14,0.00265,53,"furnisher, western, western union, credit system, free, potentially negative, validation request, owe provide, reasonable, potentially, shall, southwest"
12,13,0.0025,50,"erc, theft fraudulently, bank usa, capital bank, inquiry identity, refuse uphold, shall, uphold law, tax tell, puppy, repurchase, personal detail"
13,0,0.00135,27,"usaa, chime, attatche, app account, chime bank, usaa credit, let link, hack account, cruise, report personal, credit apply, file belong"
14,1,0.0007,14,"bonus, save account, mae, sallie, sallie mae, receive bonus, lakeview, flight cancel, prime, open check, platinum, meet requirement"
15,7,0.00065,13,"notice thing, receive feedback, dsnb, thing belong, fraud victim, account stop, macys, happen help, list send, complaint understand, act frca, dispute pursuant"
