topic,top_terms
0,"usaa, chime, attatche, app account, chime bank, usaa credit, let link, hack account, cruise, report personal, credit apply, file belong"
1,"bonus, save account, mae, sallie, sallie mae, receive bonus, lakeview, flight cancel, prime, open check, platinum, meet requirement"
2,"inquiry date, removal date, date removal, date inquiry, consumer contract, physical verification, removal, verifiable proof, sign consumer, verification original, verify physical, consumer reporting"
3,"file litigation, day, report day, datum breach, litigation, item, breach, immediately, inaccurate unknown, failure investigate, stress cause, investigate item"
4,"report, credit, account, credit report, information, debt, dispute, remove, collection, bureau, company, letter"
5,"signature, request legal, long responsible, caine, debt bill, action remove, right consumer, signature validate, caine weiner, weiner, form communication, research account"
6,"pnc, link, connect, pnc bank, link account, pnc account, try link, account, allow, link pnc, account pnc, pnc allow"
7,"notice thing, receive feedback, dsnb, thing belong, fraud victim, account stop, macys, happen help, list send, complaint understand, act frca, dispute pursuant"
8,"credit, information, report, venmo, inaccurate, inaccurate information, credit information, dept dept, credit report, mistake, dept, soon possible"
9,"stellar payment, stellar, successful resolution, payment record, record company, definitely error, company try, try contact, definitely, time stellar, resolution definitely, successful"
10,"payment, card, bank, pay, loan, account, tell, call, time, charge, receive, mortgage"
11,"acct open, open balance, acct, balance account, account acct, balance, open, account, charge, request, credit billing, billing act"
12,"xxxxdispute, fraudulent credit, fay, credit account, xxxxdispute xxxxdispute, thing list, list application, account fraudulent, fay servicing, couple, suspect identity, theft review"
13,"erc, theft fraudulently, bank usa, capital bank, inquiry identity, refuse uphold, shall, uphold law, tax tell, puppy, repurchase, personal detail"
14,"furnisher, western, western union, credit system, free, potentially negative, validation request, owe provide, reasonable, potentially, shall, southwest"
