topic,top_terms
0,"report, credit, credit report, remove, bureau, credit bureau, information, score, experian, inaccurate, report credit, equifax"
1,"mortgage, escrow, tax, insurance, company, mortgage company, home, property, payment, mortgage payment, refinance, forbearance"
2,"account, open, account number, close, account account, open account, account open, balance, account credit, remove, number, belong"
3,"debt, collection, owe, company, collect, collection agency, pay, agency, collector, debt collection, collect debt, validation"
4,"inquiry, inquiry credit, hard inquiry, hard, add hard, credit, credit report, authorize, add, report, initiate, inquiry date"
5,"initiate formal, possible violation, fraudulent, formal, initiate, block, fair, act, possible, violation, fraudulent account, investigation"
6,"acct open, open balance, acct, account acct, balance account, balance, open, charge, account, request, act, fraudulent"
7,"card, credit card, credit, charge, citi, chase, capital, purchase, score, card company, fee, interest"
8,"letter, send, dispute, receive, response, request, send letter, bureau, mail, certify, respond, verify"
9,"payment, late, late payment, pay, month, day late, fee, late fee, day, balance, report late, monthly"
10,"identity, theft, identity theft, victim, victim identity, fraudulent, police, theft report, fraudulent account, report, report identity, result identity"
11,"information, consumer, reporting, agency, section, credit reporting, reporting agency, provide, fcra, furnisher, act, file"
12,"bank, bank america, america, check, fund, deposit, money, chase, bank account, transaction, claim, transfer"
13,"item, day, delete, report day, immediately, file litigation, item credit, datum breach, litigation, breach, unknown, delete immediately"
14,"tell, call, say, time, phone, ask, money, not, email, number, try, pay"
15,"creditor, original creditor, original, successful resolution, stellar payment, stellar, record company, definitely error, payment record, company try, try contact, resolution definitely"
16,"pnc, link, pnc bank, pnc account, link account, allow, link pnc, connect, app, try link, try, account pnc"
17,"loan, student, student loan, interest, pay, rate, car, navient, apply, year, interest rate, loan pay"
